"preu_eur","ubicacio","superficie_construida_m2","habitacions","banys","planta","antiguitat_anys","armaris_empotrats","calefaccio","cuina_equipada","planta_num","antiguitat_num","armaris_bin","calefaccio_bin","cuina_bin","preu_m2","cluster"
2000,"Sarria Sant Gervasi Sarria",183,4,2,"Bajo","Más de 50 años","","","",0,60,"No","No","No",10.93,"3"
3100,"Sant Gervasi Galvany",110,2,1,"5ª","Más de 50 años","1","Central","",5,60,"Sí","Sí","No",28.18,"1"
2600,"Sant Gervasi Galvany",110,2,1,"4ª","Más de 50 años","1","Central","",4,60,"Sí","Sí","No",23.64,"1"
1790,"El Barri Gotic",119,3,2,"3ª","Más de 50 años","1","Central","Cocina equipada",3,60,"Sí","Sí","Sí",15.04,"3"
1050,"Estudio El Guinardo",40,1,1,"3ª","Más de 50 años","","","Americana",3,60,"No","No","Sí",26.25,"2"
4600,"Les Tres Torres",200,5,3,"2ª","Más de 50 años","1","","",2,60,"Sí","No","No",23,"5"
2000,"Sarria Sant Gervasi Sarria",183,4,2,"Bajo","Más de 50 años","","","",0,60,"No","No","No",10.93,"3"
7500,"Sant Pere Santa Caterina La Ribera",308,2,2,"4ª","Más de 50 años","","","",4,60,"No","No","No",24.35,"5"
2450,"El Putxet El Farro",156,4,2,"1ª","Entre 10 y 20 años","","Central","",1,15,"No","Sí","No",15.71,"3"
1695,"La Marina Del Prat Vermell Zona Franca Port",60,1,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.25,"2"
7500,"Sant Marti El Poblenou",200,4,3,"Bajo","Más de 50 años","","","",0,60,"No","No","No",37.5,"5"
11600,"Sarria Sant Gervasi Sarria",178,3,2,"6ª","Más de 50 años","","","",6,60,"No","No","No",65.17,"5"
1975,"El Poble Sec",59,2,2,"3ª","Más de 50 años","2","Eléctrica","",3,60,"Sí","Sí","No",33.47,"1"
4950,"Sarria Sant Gervasi Sarria",124,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",39.92,"3"
1538,"Sant Gervasi Galvany",73,3,1,"3ª","Más de 50 años","","","",3,60,"No","No","No",21.07,"4"
3900,"La Font En Fargues",320,2,2,"Bajo","Entre 30 y 50 años","","","",0,40,"No","No","No",12.19,"5"
1492,"El Coll",100,3,2,"Bajo","Más de 50 años","1","","Cocina americana",0,60,"Sí","No","Sí",14.92,"4"
7500,"Sant Pere Santa Caterina La Ribera",300,2,2,"4ª","Más de 50 años","1","","",4,60,"Sí","No","No",25,"5"
2000,"Sant Gervasi Galvany",85,2,1,"2ª","Entre 10 y 20 años","","","",2,15,"No","No","No",23.53,"1"
1634,"Sant Andreu La Sagrera",108,3,2,"7ª","Más de 50 años","","Gas natural","Independiente",7,60,"No","Sí","Sí",15.13,"4"
2900,"Eixample Sant Antoni",90,2,2,"Bajo","Más de 50 años","","","",0,60,"No","No","No",32.22,"1"
1600,"El Raval",70,2,2,"3ª","Más de 50 años","","","",3,60,"No","No","No",22.86,"1"
2000,"Sant Gervasi Galvany",65,2,1,"1ª","Menos de 5 años","","","",1,2.5,"No","No","No",30.77,"1"
2085,"El Barri Gotic",100,2,1,"2ª","Más de 50 años","1","","Cocina amueblada",2,60,"Sí","No","Sí",20.85,"1"
1800,"Sant Pere Santa Caterina La Ribera",62,2,2,"4ª","Más de 50 años","1","Eléctrica","",4,60,"Sí","Sí","No",29.03,"1"
5000,"Sarria Sant Gervasi Sarria",190,3,3,"Bajo","Más de 50 años","1","","",0,60,"Sí","No","No",26.32,"5"
2000,"Sant Pere Santa Caterina La Ribera",61,2,2,"2ª","Más de 50 años","","Eléctrica","",2,60,"No","Sí","No",32.79,"1"
1350,"Ciutat Vella La Barceloneta",34,1,1,"4ª","Más de 50 años","","","",4,60,"No","No","No",39.71,"2"
2500,"Sant Pere Santa Caterina La Ribera",91,2,2,"4ª","Más de 50 años","","Eléctrica","",4,60,"No","Sí","No",27.47,"1"
1210,"4 0/",37,3,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",32.7,"4"
1180,"Ciutat Vella La Barceloneta",45,2,1,"Bajo","Más de 50 años","","","",0,60,"No","No","No",26.22,"1"
4200,"Eixample",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",56,"3"
3350,"El Raval",111,3,3,"4ª","Entre 10 y 20 años","","","",4,15,"No","No","No",30.18,"3"
1600,"Sant Gervasi Galvany",45,1,1,"1ª","Menos de 5 años","","","",1,2.5,"No","No","No",35.56,"2"
3300,"El Raval",150,3,3,"2ª","Entre 10 y 20 años","","","",2,15,"No","No","No",22,"3"
1550,"El Fort Pienc",60,1,1,"1ª","Entre 5 y 10 años","","","",1,7.5,"No","No","No",25.83,"2"
2200,"Sant Gervasi Galvany",80,2,1,"2ª","Menos de 5 años","","","",2,2.5,"No","No","No",27.5,"1"
2200,"Sant Gervasi Galvany",85,2,1,"3ª","Entre 10 y 20 años","","","",3,15,"No","No","No",25.88,"1"
2000,"Sant Gervasi Galvany",75,2,1,"3ª","Entre 10 y 20 años","","","",3,15,"No","No","No",26.67,"1"
