url,titol,descripcio,preu_eur,ubicacio,superficie_construida_m2,superficie_util_m2,habitacions,banys,planta,antiguitat_anys,referencia,moblat,armaris_empotrats,calefaccio,cuina_equipada,ascensor,terrassa,data_extraccio
https://www.pisos.com/alquilar/duplex-sarria_sant_gervasi_sarria-62541741020_100500/,"Dúplex en alquiler en Carretera de Sarrià a Vallvidrera, cerca de Camí del Carlet en Sarrià por 2.000 €/mes","Se alquila este bonito duplex con dos grandes terrazas, como una casa, en plena naturaleza. Con vistas al parque de collserola. Se accede desde la carratera de vallvidrera, un camino de unos pocos metros y se llega a un gran espacio frente al piso y desde el que se accede directamente. En ese...",2000,sarria sant gervasi sarria 0 0/,183 m²,140 m²,4,2,Bajo,Más de 50 años,SPA1240/8414,,,,,,,2026-05-26
https://www.pisos.com/alquilar/atico-sant_gervasi_galvany08006-54210506325_100500/,"Ático en alquiler en Carrer de Balmes, 357, cerca de Carrer d' Atenes en Sant Gervasi-Galvany por 3.100 €/mes","Alquiler temporada (uso exclusivo vacaciones/ocio) **ático en alquiler en la calle balmes, barcelona** ¡descubre este espectacular ático en alquiler en una de las mejores zonas de barcelona! con 110 m² de espacio, este apartamento ha sido recientemente reformado y cuenta con un diseño nórdico fu...",3100,sant gervasi galvany 5 0/,110 m²,108 m²,2,1,5ª,Más de 50 años,balmes atico,,1,Central,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany08006-54260804640_100500/,"Piso en alquiler en Carrer de Balmes, 357, cerca de Carrer d' Atenes en Sant Gervasi-Galvany por 2.600 €/mes","**piso de alto standing en alquiler en la zona alta de barcelona** disponible 1 de julio descubre este espectacular piso de alto standing, ubicado en una finca regia que combina elegancia y modernidad. Con 110 m² de superficie, este amplio y luminoso apartamento ha sido recientemente reformado,...",2600,sant gervasi galvany 0 0/,110 m²,108 m²,2,1,4ª,Más de 50 años,balmes 366 4º1º,,1,Central,,,,2026-05-26
https://www.pisos.com/alquilar/piso-el_barri_gotic08002-62531865769_101800/,Piso en alquiler en Carrer de la Palla en El Barri Gòtic por 1.790 €/mes,"Te gustará saber: · piso en alquiler en el gòtic, barcelona, con 3 habitaciones y balcón, sin amueblar. · situado en la 3ª planta de un edificio con ascensor. Tiene orientación este. · salón comedor con vistas a la calle y acceso a balcones. · cocina americana totalmente equipada con placa de vit...",1790,el barri gotic 9 0/,119 m²,No indicada,3,2,3ª,Más de 50 años,JA0020-6154,,1,Central,Cocina equipada,,,2026-05-26
https://www.pisos.com/alquilar/estudio-el_guinardo-59200447172_515865/,"Estudio en alquiler en Carrer d'Olesa, cerca de Passatge d' Artemis en El Guinardó por 1.050 €/mes","Ref. Rs7003 alquiler de loft temporal justificado; traslado laboral, master, visita vacacional, tratamientos médicos. Disponible 15 de diciembre en alquiler este bonito loft situado en la tercera planta, con una superficie total de 40m² construidos, 32m² distribuidos en una habitación d...",1050,estudio el guinardo 2 5/,40 m²,32 m²,1,1,3ª,,RG6760,,,,Americana,,,2026-05-26
https://www.pisos.com/alquilar/piso-les_tres_torres08017-63382297214_100500/,Piso en alquiler en Carrer del Hort de la Vila en Les Tres Torres por 4.600 €/mes,"Piso en sarriá de alto standing de 200m2, exterior a tres vientos con mucha luz natural, recién reformado con muebles a estrenar ideal para altos directivos que busquen tranquilidad y buena ubicación. Con un gran recibidor de entrada, un amplio salón-comedor con salida a una agradable terraza con...",4600,les tres torres 4 0/,200 m²,195 m²,5,3,2ª,Más de 50 años,hortdelavila22,,1,,,,,2026-05-26
https://www.pisos.com/alquilar/duplex-sarria_sant_gervasi_sarria-62541741020_100500/,"Dúplex en alquiler en Carretera de Sarrià a Vallvidrera, cerca de Camí del Carlet en Sarrià por 2.000 €/mes","Se alquila este bonito duplex con dos grandes terrazas, como una casa, en plena naturaleza. Con vistas al parque de collserola. Se accede desde la carratera de vallvidrera, un camino de unos pocos metros y se llega a un gran espacio frente al piso y desde el que se accede directamente. En ese...",2000,sarria sant gervasi sarria 0 0/,183 m²,140 m²,4,2,Bajo,Más de 50 años,SPA1240/8414,,,,,,,2026-05-26
https://www.pisos.com/alquilar/atico-sant_pere_santa_caterina_la_ribera08010-64240018051_108900/,Ático en alquiler en Sant Pere-Santa Caterina-La Ribera en Sant Pere-Santa Caterina-La Ribera por 7.500 €/mes,Sofisticación industrial en el corazón de barcelona residir en el passatge sert es habitar un secreto a voces entre la élite de barcelona. Este penthouse estilo loft ny de 300 m² no es solo una vivienda; es un manifiesto de diseño en una antigua fábrica textil de 1867. Representa el equilibrio p...,7500,sant pere santa caterina la ribera 1 0/,308 m²,No indicada,2,2,4ª,,1138,,,,,,1t,2026-05-26
https://www.pisos.com/alquilar/piso-el_barri_gotic-62544148312_101800/,Piso en alquiler en Calle N-A en El Barri Gòtic por 12.800 €/mes,Esta propiedad se encuentra situada en icónico edificio de arquitectura modernista casa bures. Este apartamento es una pieza viva de la historia combinado con una decoración y estilo cuidadosamente elegido pieza a pieza que lo convierten en un hogar exquisito. Con su diseño y acabados contempor...,12800,el barri gotic 2 0/,145 m²,No indicada,3,2,,Más de 50 años,BCNR3063,,1,Central,Cocina equipada,,,2026-05-26
https://www.pisos.com/alquilar/piso-el_putxet_el_farro08023-64261157891_101800/,Piso en alquiler en Carrer de Roca i Batlle en El Putxet-El Farró por 2.450 €/mes,"Piso en finca muy cuidada, zona putxet, con ascensor, cuenta con cuatro habitaciones más una pequeña, un baño reformado con plato de ducha, un aseo, gran salón comedor con salida a balcón amplio y cocina independiente. Parte de las ventanas de doble acristalamiento, calefacción de gas natural, ai...",2450,el putxet el farro 1 0/,156 m²,No indicada,4,2,,Entre 10 y 20 años,3d8bb4c3-ca31-4361-abe2-6540e2bbf8e7,,,Central,,,,2026-05-26
https://www.pisos.com/alquilar/piso-la_marina_del_prat_vermell_zona_franca_port08038-62534322675_108900/,Piso en alquiler en Sarria-Sant Gervasi en La Marina del Prat Vermell-Zona Franca-Port por 1.695 €/mes,"Magnifica vivienda de 66 m2 construidos a estrenar. El inmueble se encuentra situada en la parte alta del barrio de sarria, rodeado por el parque de collserola, dando toda la tranquilidad de la naturaleza. El inmueble consta de una habitación doble con vestidor, amplio salón comedor, cocina amue...",1695,la marina del prat vermell zona franca port 5 0/,60 m²,No indicada,1,1,1ª,,0802-005376,,,,,,,2026-05-26
https://www.pisos.com/alquilar/atico-sant_marti_el_poblenou-64177880979_108900/,Ático en alquiler en El Poblenou en El Poblenou por 7.500 €/mes,"Grandiora presenta esta exclusiva propiedad: un ático dúplex de 200 m² en primera línea de mar, situado en el prestigioso complejo illa del mar, una de las direcciones más cotizadas de barcelona. La vivienda, completamente exterior, disfruta de abundante luz natural y ofrece impresionantes vistas...",7500,sant marti el poblenou 9 0/,200 m²,170 m²,4,3,Bajo,,1171,,,,,,1t+1b,2026-05-26
https://www.pisos.com/alquilar/piso-sarria_sant_gervasi_sarria08034-63432031785_106400/,Piso en alquiler en Calle de Josep Vicenc Foix No Number en Sarrià por 11.600 €/mes,"ático de lujo recientemente renovado con terraza de 170 m², piscina privada y vistas panorámicas al mar y la ciudad - amueblado o sin amueblar, a 10 min de turó park y escuelas internacionales disponible amueblado o sin amueblar. Ático recientemente renovado, ubicado en una zona residencial exclu...",11600,sarria sant gervasi sarria 5 0/,178 m²,178 m²,3,2,6ª,,105588214-105588214,,,,,,,2026-05-26
https://www.pisos.com/alquilar/atico-el_poble_sec08004-64216251904_103800/,Ático en alquiler en Carrer de Magalhäes en El Poble-sec por 1.975 €/mes,"2 hab dobles y 2 baños + terraza privada piso vacacional alquiler vacacional de más de 32 días, únicamente por motivos de ocio, vacacional, recreativo o cultural o temporal. Imprescindible presentar un documento acreditativo del motivo para poder alquilar. Ubicado en el barrio de poble sec, en...",1975,el poble sec 4 0/,59 m²,54 m²,2,2,3ª,Más de 50 años,AG1263,,2,Eléctrica,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sarria_sant_gervasi_sarria08034-44195324838_108900/,Piso en alquiler en Carrer de Ràfols en Sarrià por 4.950 €/mes,"Magnífico piso a estrenar en sarriá, perteneciente a uno de los proyectos urbanísticos más relevantes de la zona en los últimos tiempos. Pertenece a un gran conjunto residencial con zona comunitaria con piscina, jardín y gimnasio privado. La vivienda tiene una superficie de 123m2 construidos y ...",4950,sarria sant gervasi sarria 8 0/,124 m²,106 m²,3,2,1ª,,A-SARRIA-07,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany-64246715274_103800/,Piso en alquiler en Carrer d'Atenes en Sant Gervasi-Galvany por 1.538 €/mes,"Piso ideal parejas amueblado en alquiler. Esta vivienda consta de un agradable salón comedor con salida a una galería/terraza cerrada muy soleada y con luz natural. La cocina está equipada con horno, extractor de humos, horno, nevera y en la zona de aguas se encuentra la lavadora. Tiene una habi...",1538,sant gervasi galvany 4 0/,73 m²,No indicada,3,1,3ª,Más de 50 años,60-AM,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-la_font_en_fargues-64201285011_106400/,Piso en alquiler en Carrer Alt de Pedrell en La Font d'en Fargues por 3.900 €/mes,"Alt de pedrell, 84 en barcelona. Posibilidad de alquiler con opción de compra ( solicitar condiciones) inmueble loft/local de 200m2 + 120m2 de terraza con vistas a la ciudad de barcelona. En el anuncio se muestran renders para visualizar como puede quedar. Se muestra plano y dibujo con la forma ...",3900,la font en fargues 1 0/,320 m²,320 m²,2,2,Bajo,Entre 30 y 50 años,111017462-ALQUILER ALT PEDRELL,,,,,,,2026-05-26
https://www.pisos.com/alquilar/duplex-el_coll-24232587392_100500/,"Dúplex en alquiler en Carrer del Beat Almató, cerca de Carrer de Móra d'Ebre en El Coll por 1.492 €/mes",Fantástico piso dúplex de reciente construcción. Se encuentra en una finca moderna con ascensor. Cuenta con 100m² construidos y se distribuye de la siguiente forma. Planta baja: recibidor que comunica con la cocina abierta tipo americana y al amplio salón comedor. En este encontramos las...,1492,el coll 2 0/,100 m²,82 m²,3,2,Bajo,,380120220433,,1,,Cocina americana,,,2026-05-26
https://www.pisos.com/alquilar/loft-sant_pere_santa_caterina_la_ribera08003-62592048501_100500/,Loft en alquiler en Passatge de Sert en Sant Pere-Santa Caterina-La Ribera por 7.500 €/mes,"dcano real estate agency presenta este singular ático / loft de inspiración neoyorquina, disponible en alquiler temporal o de larga estancia, completamente amueblado y listo para entrar a vivir. Pensado para los amantes de los espacios abiertos, los techos altos y las propiedades con carácte...",7500,sant pere santa caterina la ribera 1 0/,300 m²,270 m²,2,2,4ª,,DC272/9085,,1,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany-63422408901_106400/,"Piso en alquiler en Carrer de Marià Cubí, cerca de Carrer de Santaló en Sant Gervasi-Galvany por 2.000 €/mes","Alquiler de temporada — estancia mínima de 32 días y máxima de 11 meses disponibilidad del 22/06/2026 al 30/09/2026. Destinado a fines de ocio, vacaciones, uso recreativo o cultural. ¡bienvenido a este apartamento con una gran terraza privada en sant gervasi! situado en un edificio moderno con as...",2000,sant gervasi galvany 1 0/,85 m²,85 m²,2,1,2ª,Entre 10 y 20 años,108283645-Jul28 - MC..2.1-LD..,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_andreu_la_sagrera08027-38406391636_501025/,Piso en alquiler en Carrer del Camp del Ferro en La Sagrera por 1.634 €/mes,Vivienda en alquiler en la sagrera. Informacion importante: para visitar esta vivienda envie su documentacion a traves de nuestra web: fincas-sanandres-documentacion clicando en el menu en la pestaña de envio de documentacion. Piso de 125 metros construidos 108 metros utiles con 3 habitacio...,1634,sant andreu la sagrera 6 5/,108 m²,83 m²,3,2,7ª,,1280,,,Gas natural,Independiente,,,2026-05-26
