url,titol,descripcio,preu_eur,ubicacio,superficie_construida_m2,superficie_util_m2,habitacions,banys,planta,antiguitat_anys,referencia,moblat,armaris_empotrats,calefaccio,cuina_equipada,ascensor,terrassa,data_extraccio
https://www.pisos.com/alquilar/apartamento-la_sagrada_familia08025-55875225526_101800/,Apartamento en alquiler en La Sagrada Família en La Sagrada Família por 1.850 €/mes,"Contratos temporales a partir de 6 meses. Se trata de un piso muy espacioso, con dos habitaciones dobles, una que esta orientada hacia la parte interior de la finca con cama doble y armarios, y la siguiente muy amplia que da al exterior muy luminosa, y con ventanas doble cristal, lo que hace que ...",1850,la sagrada familia 6 0/,70 m²,No indicada,2,1,7ª,Más de 50 años,I-030TB1-W-030TB1,,1,Central,Cocina equipada,,,2026-05-25
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08007-60044183136_101800/,Piso en alquiler en La Dreta de L'Eixample en La Dreta de l'Eixample por 3.000 €/mes,"Solo alquileres vacacionales o de ocio propietario de grandes propiedades precio del último contrato: 3.000 € ¡bienvenidos a este espectacular piso en alquiler! te presentamos un inmueble esquinero totalmente soleado, recién reformado y con una ubicación inmejorable en pleno centro de barcelona....",3000,la dreta de eixample 6 0/,94 m²,No indicada,2,2,3ª,,I-047TPQ-W-047TPQ,,1,Central,Cocina equipada,,,2026-05-25
https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08008-52500424436_101800/,Piso en alquiler en L'Antiga Esquerra de L'Eixample en L'Antiga Esquerra de l'Eixample por 3.200 €/mes,"Disponible 22 de septiembre 2026 uso: exclusivamente recreativo. Nota legal: el inmueble se arrienda exclusivamente para uso vacacional o recreativo, por lo que el contrato es a precio libre. Condición del propietario: gran tenedor: no. Nota: no aplica índice de precios ni condiciones del contrat...",3200,antiga esquerra de eixample 6 0/,100 m²,No indicada,4,2,3ª,Más de 50 años,I-02Z94T-W-02Z94T,,,Central,,,,2026-05-25
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany08006-54260804640_100500/,"Piso en alquiler en Carrer de Balmes, 357, cerca de Carrer d' Atenes en Sant Gervasi-Galvany por 2.600 €/mes","**piso de alto standing en alquiler en la zona alta de barcelona** disponible 1 de julio descubre este espectacular piso de alto standing, ubicado en una finca regia que combina elegancia y modernidad. Con 110 m² de superficie, este amplio y luminoso apartamento ha sido recientemente reformado,...",2600,sant gervasi galvany 0 0/,110 m²,108 m²,2,1,4ª,Más de 50 años,balmes 366 4º1º,,1,Central,,,,2026-05-25
https://www.pisos.com/alquilar/piso-les_tres_torres08017-63382297214_100500/,Piso en alquiler en Carrer del Hort de la Vila en Les Tres Torres por 4.600 €/mes,"Piso en sarriá de alto standing de 200m2, exterior a tres vientos con mucha luz natural, recién reformado con muebles a estrenar ideal para altos directivos que busquen tranquilidad y buena ubicación. Con un gran recibidor de entrada, un amplio salón-comedor con salida a una agradable terraza con...",4600,les tres torres 4 0/,200 m²,195 m²,5,3,2ª,Más de 50 años,hortdelavila22,,1,,,,,2026-05-25
https://www.pisos.com/alquilar/piso-el_raval08001-80055829933_515865/,"Piso en alquiler en Carrer de les Carretes, cerca de Carrer de l' Aurora en El Raval por 1.150 €/mes","Ref rs0001 disponible junio piso de alquiler temporal demostrable en ciutat vella. Contrato temporal por uso de ocio, vacacional o recreativo - se alquila maravilloso piso a estrenar de alto standing , de 65m² útiles, muy soleado, en finca totalmente reformada en el año 2017. Tiene do...",1150,el raval 3 5/,65 m²,60 m²,2,2,3ª,Más de 50 años,RS0001,,2,Central,Tipo  americana,,,2026-05-25
https://www.pisos.com/alquilar/atico-sant_gervasi_galvany08006-54210506325_100500/,"Ático en alquiler en Carrer de Balmes, 357, cerca de Carrer d' Atenes en Sant Gervasi-Galvany por 3.100 €/mes","Alquiler temporada (uso exclusivo vacaciones/ocio) **ático en alquiler en la calle balmes, barcelona** ¡descubre este espectacular ático en alquiler en una de las mejores zonas de barcelona! con 110 m² de espacio, este apartamento ha sido recientemente reformado y cuenta con un diseño nórdico fu...",3100,sant gervasi galvany 5 0/,110 m²,108 m²,2,1,5ª,Más de 50 años,balmes atico,,1,Central,,,,2026-05-25
https://www.pisos.com/alquilar/piso-el_barri_gotic08002-62531865769_101800/,Piso en alquiler en Carrer de la Palla en El Barri Gòtic por 1.790 €/mes,"Te gustará saber: · piso en alquiler en el gòtic, barcelona, con 3 habitaciones y balcón, sin amueblar. · situado en la 3ª planta de un edificio con ascensor. Tiene orientación este. · salón comedor con vistas a la calle y acceso a balcones. · cocina americana totalmente equipada con placa de vit...",1790,el barri gotic 9 0/,119 m²,No indicada,3,2,3ª,Más de 50 años,JA0020-6154,,1,Central,Cocina equipada,,,2026-05-25
https://www.pisos.com/alquilar/duplex-sarria_sant_gervasi_sarria-62541741020_100500/,"Dúplex en alquiler en Carretera de Sarrià a Vallvidrera, cerca de Camí del Carlet en Sarrià por 2.000 €/mes","Se alquila este bonito duplex con dos grandes terrazas, como una casa, en plena naturaleza. Con vistas al parque de collserola. Se accede desde la carratera de vallvidrera, un camino de unos pocos metros y se llega a un gran espacio frente al piso y desde el que se accede directamente. En ese...",2000,sarria sant gervasi sarria 0 0/,183 m²,140 m²,4,2,Bajo,Más de 50 años,SPA1240/8414,,,,,,,2026-05-25
https://www.pisos.com/alquilar/duplex-el_barri_gotic08002-62524155574_101800/,Dúplex en alquiler en Calle N-A en El Barri Gòtic por 8.250 €/mes,"Vivienda disponible para alquiler temporal justificando su motivo. Exclusiva vivienda en el emblemático palau moxó, uno de los edificios del año 1770 más representativos de barcelona. Rehabilitado íntegramente en 2022, logrando preservar su valioso legado histórico y ofreciendo a su vez un compl...",8250,el barri gotic 4 0/,156 m²,No indicada,2,2,,Menos de 5 años,BCNR3576,,1,Central,Cocina equipada,,,2026-05-25
