url,titol,preu_eur,ubicacio,superficie_construida_m2,superficie_util_m2,habitacions,banys,planta,referencia,data_extraccio
https://www.pisos.com/alquilar/duplex-sarria_sant_gervasi_sarria-62541741020_100500/,,2200,,183 m²,,4,,Bajo,SPA1240/8414,2026-04-06
https://www.pisos.com/alquilar/estudio-el_barri_gotic08002-28342474358_515865/,,870,,45 m²,,1,,Entresuelo,RS6554,2026-04-06
https://www.pisos.com/alquilar/piso-el_putxet_el_farro-61766611854_100500/,,2920,,88 m²,,2,,1ª,HEBRON,2026-04-06
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany08021-61703907270_100500/,,5100,,160 m²,,3,,1ª,NEWMAN,2026-04-06
https://www.pisos.com/alquilar/piso-eixample_sant_antoni-49251936703_100500/,,2435,,66 m²,,2,,4ª,CINAR,2026-04-06
https://www.pisos.com/alquilar/estudio-sants_montjuic_sants08014-33390108362_515865/,,1300,,55 m²,,,,3ª,RS6650,2026-04-06
https://www.pisos.com/alquilar/piso-les_tres_torres08021-60078394293_100500/,,4700,,220 m²,,5,,3ª,90081LP/6680,2026-04-06
https://www.pisos.com/alquilar/apartamento-la_dreta_de_eixample-60095348089_100500/,,5900,,151 m²,,3,,1ª,91227LP/6680,2026-04-06
https://www.pisos.com/alquilar/estudio-el_guinardo-59200447172_515865/,,1050,,40 m²,,1,,3ª,RG6760,2026-04-06
https://www.pisos.com/alquilar/estudio-horta_guinardo_horta08031-59258883172_501686/,,950,,45 m²,,1,,Bajo,JC1425,2026-04-06
https://www.pisos.com/alquilar/piso-el_baix_guinardo08024-58396430363_104700/,,3000,,97 m²,,1,,1ª,1N49RVBCN,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08007-55914508597_104700/,,4490,,150 m²,,1,,1ª,1N27RVBCN,2026-04-06
https://www.pisos.com/alquilar/piso-sant_marti_el_poblenou08005-55880901538_104700/,,2000,,83 m²,,1,,1ª,1N29RVBCN,2026-04-06
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-55851209181_104700/,,1800,,48 m²,,1,,1ª,1N23RVBCN,2026-04-06
https://www.pisos.com/alquilar/piso-el_raval08001-59241682675_104700/,,1400,,50 m²,,1,,1ª,1N53RVBCN,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08010-62547843861_109300/,,9900,,357 m²,,6,,2ª,2765,2026-04-06
